current_round,agents_data,death_data,birth_data
10,"(538, 536)","(233, 0)","(0, 8)"
11,"(406, 596)","(132, 0)","(0, 60)"
12,"(984, 623)","(78, 7)","(656, 34)"
13,"(673, 635)","(311, 0)","(0, 12)"
14,"(503, 681)","(170, 6)","(0, 52)"
15,"(1170, 772)","(113, 7)","(780, 98)"
16,"(827, 827)","(343, 5)","(0, 60)"
17,"(1869, 919)","(204, 0)","(1246, 92)"
18,"(1232, 934)","(637, 7)","(0, 22)"
19,"(885, 960)","(347, 2)","(0, 28)"
20,"(2016, 1028)","(213, 2)","(1344, 70)"
21,"(1351, 1099)","(665, 3)","(0, 74)"
2,"(159, 300)","(41, 0)","(0, 0)"
3,"(134, 300)","(25, 0)","(0, 0)"
4,"(333, 370)","(23, 0)","(222, 70)"
5,"(258, 388)","(75, 0)","(0, 18)"
6,"(630, 430)","(48, 0)","(420, 42)"
7,"(434, 484)","(196, 0)","(0, 54)"
8,"(993, 562)","(103, 0)","(662, 78)"
9,"(673, 602)","(320, 0)","(0, 40)"
10,"(502, 630)","(171, 0)","(0, 28)"
11,"(1164, 714)","(114, 0)","(776, 84)"
12,"(804, 782)","(360, 8)","(0, 76)"
13,"(1803, 902)","(203, 0)","(1202, 120)"
14,"(1211, 970)","(592, 0)","(0, 68)"
15,"(2624, 1076)","(335, 2)","(1748, 108)"
16,"(1705, 1122)","(923, 0)","(4, 46)"
17,"(3582, 1274)","(507, 6)","(2384, 158)"
18,"(2276, 1304)","(1314, 2)","(8, 32)"
19,"(1553, 1336)","(723, 10)","(0, 42)"
20,"(3376, 1371)","(423, 13)","(2246, 48)"
21,"(2201, 1391)","(1185, 10)","(10, 30)"
2,"(162, 300)","(38, 0)","(0, 0)"
3,"(405, 352)","(27, 0)","(270, 52)"
4,"(295, 352)","(110, 0)","(0, 0)"
5,"(230, 366)","(65, 0)","(0, 14)"
6,"(548, 416)","(46, 0)","(364, 50)"
7,"(397, 468)","(155, 0)","(4, 52)"
8,"(905, 498)","(92, 0)","(600, 30)"
9,"(634, 530)","(279, 0)","(8, 32)"
10,"(1344, 618)","(182, 0)","(892, 88)"
11,"(894, 666)","(458, 0)","(8, 48)"
12,"(1884, 744)","(258, 16)","(1248, 94)"
13,"(1229, 772)","(671, 0)","(16, 28)"
14,"(2550, 829)","(371, 3)","(1692, 60)"
15,"(1606, 871)","(962, 0)","(18, 42)"
16,"(3199, 915)","(525, 0)","(2118, 44)"
17,"(1968, 915)","(1231, 12)","(0, 12)"
18,"(1328, 934)","(664, 5)","(24, 24)"
19,"(2699, 993)","(409, 11)","(1780, 70)"
20,"(1744, 1012)","(995, 11)","(40, 30)"
21,"(1194, 1027)","(550, 17)","(0, 32)"
2,"(88, 300)","(12, 0)","(0, 0)"
3,"(77, 300)","(11, 0)","(0, 0)"
4,"(216, 334)","(5, 0)","(144, 34)"
5,"(174, 372)","(42, 0)","(0, 38)"
6,"(145, 416)","(29, 0)","(0, 44)"
7,"(372, 550)","(21, 0)","(248, 134)"
8,"(295, 670)","(77, 0)","(0, 120)"
9,"(753, 812)","(44, 0)","(502, 142)"
10,"(569, 888)","(184, 0)","(0, 76)"
11,"(450, 954)","(119, 0)","(0, 66)"
12,"(1146, 993)","(68, 3)","(764, 42)"
13,"(833, 1117)","(313, 0)","(0, 124)"
14,"(647, 1197)","(186, 0)","(0, 80)"
15,"(1620, 1307)","(107, 0)","(1080, 110)"
16,"(1156, 1522)","(464, 1)","(0, 216)"
17,"(2701, 1596)","(255, 2)","(1800, 76)"
18,"(1843, 1740)","(860, 2)","(2, 146)"
19,"(4083, 2013)","(480, 5)","(2720, 278)"
20,"(2726, 2183)","(1363, 2)","(6, 172)"
21,"(1965, 2219)","(761, 12)","(0, 48)"
2,"(163, 300)","(37, 0)","(0, 0)"
3,"(405, 346)","(28, 0)","(270, 46)"
4,"(292, 422)","(113, 0)","(0, 76)"
5,"(664, 496)","(70, 0)","(442, 74)"
6,"(484, 540)","(182, 0)","(2, 44)"
7,"(1082, 604)","(122, 0)","(720, 64)"
8,"(731, 648)","(353, 0)","(2, 44)"
9,"(1590, 664)","(199, 0)","(1058, 16)"
10,"(1036, 698)","(554, 0)","(0, 34)"
11,"(2178, 806)","(310, 0)","(1452, 108)"
12,"(1378, 828)","(800, 14)","(0, 36)"
13,"(957, 850)","(427, 0)","(6, 22)"
14,"(2076, 903)","(259, 3)","(1378, 56)"
15,"(1364, 933)","(722, 4)","(10, 34)"
16,"(2846, 1026)","(408, 7)","(1890, 100)"
17,"(1821, 1065)","(1043, 5)","(18, 44)"
18,"(3689, 1155)","(578, 10)","(2446, 100)"
19,"(2316, 1213)","(1403, 8)","(30, 66)"
20,"(4575, 1300)","(771, 7)","(3030, 94)"
21,"(2830, 1334)","(1779, 14)","(34, 48)"
2,"(160, 300)","(40, 0)","(0, 0)"
3,"(139, 300)","(21, 0)","(0, 0)"
4,"(348, 352)","(23, 0)","(232, 52)"
5,"(260, 368)","(88, 0)","(0, 16)"
6,"(624, 446)","(52, 0)","(416, 78)"
7,"(430, 486)","(194, 0)","(0, 40)"
8,"(999, 554)","(97, 0)","(666, 68)"
9,"(679, 610)","(320, 0)","(0, 56)"
10,"(1514, 704)","(173, 0)","(1008, 94)"
11,"(994, 756)","(522, 0)","(2, 52)"
12,"(2162, 787)","(272, 11)","(1440, 42)"
13,"(1367, 839)","(797, 0)","(2, 52)"
14,"(2841, 901)","(420, 0)","(1894, 62)"
15,"(1760, 915)","(1081, 2)","(0, 16)"
16,"(1171, 949)","(589, 0)","(0, 34)"
17,"(2544, 1042)","(323, 3)","(1696, 96)"
18,"(1635, 1090)","(909, 4)","(0, 52)"
19,"(3435, 1155)","(490, 9)","(2290, 74)"
20,"(2164, 1239)","(1271, 12)","(0, 96)"
21,"(4404, 1308)","(696, 13)","(2936, 82)"
2,"(165, 300)","(35, 0)","(0, 0)"
3,"(139, 300)","(26, 0)","(0, 0)"
4,"(348, 364)","(23, 0)","(232, 64)"
5,"(267, 382)","(81, 0)","(0, 18)"
6,"(643, 414)","(52, 0)","(428, 32)"
7,"(445, 450)","(200, 0)","(2, 36)"
8,"(975, 536)","(118, 0)","(648, 86)"
9,"(677, 586)","(302, 0)","(4, 50)"
10,"(1464, 660)","(187, 0)","(974, 74)"
11,"(962, 696)","(506, 0)","(4, 36)"
12,"(2072, 735)","(268, 7)","(1378, 46)"
13,"(1309, 760)","(763, 1)","(0, 26)"
14,"(905, 788)","(408, 0)","(4, 28)"
15,"(1964, 806)","(247, 8)","(1306, 26)"
16,"(1270, 852)","(704, 0)","(10, 46)"
17,"(2655, 876)","(377, 6)","(1762, 30)"
18,"(1674, 917)","(997, 13)","(16, 54)"
19,"(3338, 1009)","(550, 8)","(2214, 100)"
20,"(2082, 1049)","(1280, 4)","(24, 44)"
21,"(4157, 1082)","(679, 13)","(2754, 46)"
2,"(155, 300)","(45, 0)","(0, 0)"
3,"(134, 300)","(21, 0)","(0, 0)"
4,"(342, 362)","(20, 0)","(228, 62)"
5,"(265, 386)","(77, 0)","(0, 24)"
6,"(631, 478)","(54, 0)","(420, 92)"
7,"(457, 516)","(176, 0)","(2, 38)"
8,"(1042, 560)","(107, 0)","(692, 44)"
9,"(707, 582)","(335, 0)","(0, 22)"
10,"(1569, 670)","(184, 0)","(1046, 88)"
11,"(1012, 698)","(557, 0)","(0, 28)"
12,"(719, 739)","(303, 11)","(10, 52)"
13,"(1622, 849)","(171, 0)","(1074, 110)"
14,"(1097, 877)","(537, 0)","(12, 28)"
15,"(2343, 947)","(306, 0)","(1552, 70)"
16,"(1502, 984)","(841, 3)","(0, 40)"
17,"(1064, 1009)","(450, 11)","(12, 36)"
18,"(2345, 1108)","(273, 9)","(1554, 108)"
19,"(1577, 1151)","(790, 1)","(22, 44)"
20,"(3348, 1306)","(445, 5)","(2216, 160)"
21,"(2165, 1372)","(1209, 8)","(26, 74)"
2,"(86, 300)","(14, 0)","(0, 0)"
3,"(234, 386)","(8, 0)","(156, 86)"
4,"(177, 386)","(57, 0)","(0, 0)"
5,"(445, 522)","(28, 0)","(296, 136)"
6,"(343, 588)","(104, 0)","(2, 66)"
7,"(861, 700)","(54, 0)","(572, 112)"
8,"(621, 740)","(242, 0)","(2, 40)"
9,"(475, 834)","(148, 0)","(2, 94)"
10,"(1178, 970)","(81, 0)","(784, 136)"
11,"(848, 1078)","(332, 0)","(2, 108)"
12,"(1967, 1128)","(187, 6)","(1306, 56)"
13,"(1348, 1156)","(635, 0)","(16, 28)"
14,"(977, 1292)","(371, 0)","(0, 136)"
15,"(2334, 1444)","(199, 6)","(1556, 158)"
16,"(1625, 1616)","(709, 4)","(0, 176)"
17,"(3598, 1862)","(425, 2)","(2398, 248)"
18,"(2422, 1926)","(1178, 4)","(2, 68)"
19,"(5268, 2103)","(664, 5)","(3510, 182)"
20,"(3394, 2277)","(1878, 4)","(4, 178)"
21,"(2373, 2311)","(1021, 12)","(0, 46)"
2,"(161, 300)","(39, 0)","(0, 0)"
3,"(396, 366)","(29, 0)","(264, 66)"
4,"(295, 440)","(101, 0)","(0, 74)"
5,"(715, 466)","(56, 0)","(476, 26)"
6,"(496, 486)","(221, 0)","(2, 20)"
7,"(1093, 542)","(129, 0)","(726, 56)"
8,"(729, 582)","(368, 0)","(4, 40)"
9,"(526, 620)","(203, 0)","(0, 38)"
10,"(1214, 650)","(120, 0)","(808, 30)"
11,"(825, 666)","(389, 0)","(0, 16)"
12,"(599, 697)","(226, 11)","(0, 42)"
13,"(1368, 795)","(143, 0)","(912, 98)"
14,"(942, 834)","(426, 5)","(0, 44)"
15,"(2076, 919)","(250, 5)","(1384, 90)"
16,"(1340, 988)","(736, 1)","(0, 70)"
17,"(2812, 1121)","(402, 5)","(1874, 138)"
18,"(1821, 1193)","(991, 4)","(0, 76)"
19,"(3798, 1308)","(555, 7)","(2532, 122)"
20,"(2402, 1365)","(1396, 11)","(0, 68)"
21,"(4911, 1449)","(765, 6)","(3274, 90)"
2,"(89, 300)","(11, 0)","(0, 0)"
3,"(246, 396)","(7, 0)","(164, 96)"
4,"(199, 396)","(47, 0)","(0, 0)"
5,"(486, 480)","(37, 0)","(324, 84)"
6,"(363, 522)","(123, 0)","(0, 42)"
7,"(281, 592)","(82, 0)","(0, 70)"
8,"(697, 666)","(48, 0)","(464, 74)"
9,"(507, 694)","(190, 0)","(0, 28)"
10,"(1188, 866)","(111, 0)","(792, 172)"
11,"(856, 1000)","(332, 0)","(0, 134)"
12,"(1992, 1071)","(192, 3)","(1328, 74)"
13,"(1331, 1101)","(661, 0)","(0, 30)"
14,"(983, 1189)","(348, 0)","(0, 88)"
15,"(2283, 1312)","(222, 5)","(1522, 128)"
16,"(1550, 1364)","(733, 4)","(0, 56)"
17,"(3423, 1497)","(409, 5)","(2282, 138)"
18,"(2246, 1512)","(1177, 3)","(0, 18)"
19,"(1584, 1606)","(662, 6)","(0, 100)"
20,"(3537, 1666)","(405, 8)","(2358, 68)"
21,"(2335, 1710)","(1202, 8)","(0, 52)"
2,"(154, 300)","(46, 0)","(0, 0)"
3,"(381, 360)","(27, 0)","(254, 60)"
4,"(276, 360)","(105, 0)","(0, 0)"
5,"(206, 372)","(70, 0)","(0, 12)"
6,"(516, 488)","(34, 0)","(344, 116)"
7,"(395, 506)","(121, 0)","(0, 18)"
8,"(912, 568)","(89, 0)","(606, 62)"
9,"(627, 600)","(287, 0)","(2, 32)"
10,"(474, 644)","(153, 0)","(0, 44)"
11,"(1140, 758)","(94, 0)","(760, 114)"
12,"(796, 796)","(344, 12)","(0, 50)"
13,"(1755, 896)","(211, 0)","(1170, 100)"
14,"(1165, 990)","(590, 0)","(0, 94)"
15,"(2536, 1119)","(319, 3)","(1690, 132)"
16,"(1654, 1157)","(884, 0)","(2, 38)"
17,"(1171, 1207)","(483, 4)","(0, 54)"
18,"(2685, 1394)","(276, 7)","(1790, 194)"
19,"(1803, 1424)","(882, 10)","(0, 40)"
20,"(3870, 1488)","(511, 6)","(2578, 70)"
21,"(2482, 1527)","(1390, 9)","(2, 48)"
2,"(158, 300)","(42, 0)","(0, 0)"
3,"(132, 300)","(26, 0)","(0, 0)"
4,"(321, 330)","(25, 0)","(214, 30)"
5,"(240, 358)","(81, 0)","(0, 28)"
6,"(198, 376)","(42, 0)","(0, 18)"
7,"(498, 396)","(32, 0)","(332, 20)"
8,"(354, 470)","(144, 0)","(0, 74)"
9,"(843, 510)","(73, 0)","(562, 40)"
10,"(585, 538)","(258, 0)","(0, 28)"
11,"(1306, 614)","(149, 0)","(870, 76)"
12,"(869, 640)","(439, 12)","(2, 38)"
13,"(1828, 680)","(259, 0)","(1218, 40)"
14,"(1158, 752)","(672, 0)","(2, 72)"
15,"(2402, 784)","(356, 0)","(1600, 32)"
16,"(1499, 818)","(907, 0)","(4, 34)"
17,"(3042, 892)","(483, 12)","(2026, 86)"
18,"(1879, 912)","(1167, 10)","(4, 30)"
19,"(3752, 953)","(625, 7)","(2498, 48)"
20,"(2247, 972)","(1513, 7)","(8, 26)"
21,"(1455, 1022)","(792, 6)","(0, 56)"
2,"(161, 300)","(39, 0)","(0, 0)"
3,"(391, 362)","(30, 0)","(260, 62)"
4,"(299, 378)","(94, 0)","(2, 16)"
5,"(228, 412)","(71, 0)","(0, 34)"
6,"(549, 474)","(45, 0)","(366, 62)"
7,"(401, 544)","(148, 0)","(0, 70)"
8,"(946, 626)","(85, 0)","(630, 82)"
9,"(661, 684)","(287, 0)","(2, 58)"
10,"(1491, 754)","(162, 0)","(992, 70)"
11,"(1021, 828)","(476, 0)","(6, 74)"
2,"(165, 300)","(35, 0)","(0, 0)"
3,"(135, 300)","(30, 0)","(0, 0)"
4,"(321, 318)","(28, 0)","(214, 18)"
2,"(9020,9010)","(350, 4222)","(2333, 2333)"
3,"(133, 300)","(31, 0)","(0, 0)"
4,"(346, 310)","(17, 0)","(230, 10)"
5,"(249, 352)","(99, 0)","(2, 42)"
6,"(569, 416)","(58, 0)","(378, 64)"
7,"(409, 468)","(164, 0)","(4, 52)"
8,"(924, 546)","(99, 0)","(614, 78)"
9,"(633, 596)","(297, 0)","(6, 50)"
10,"(1410, 694)","(159, 0)","(936, 98)"
11,"(938, 726)","(480, 0)","(8, 32)"
12,"(2004, 763)","(264, 15)","(1330, 52)"
13,"(1286, 839)","(730, 0)","(12, 76)"
14,"(2639, 889)","(397, 0)","(1750, 50)"
15,"(1663, 935)","(994, 0)","(18, 46)"
16,"(1135, 965)","(528, 0)","(0, 30)"
17,"(2464, 1046)","(305, 3)","(1634, 84)"
18,"(1616, 1106)","(866, 12)","(18, 72)"
19,"(3331, 1172)","(493, 4)","(2208, 70)"
20,"(2119, 1191)","(1238, 15)","(26, 34)"
21,"(1438, 1218)","(681, 5)","(0, 32)"
2,"(9020,9010)","(350, 4222)","(2333, 2333)"
3,"(9020,9010)","(350, 4222)","(2333, 2333)"
3,"(131, 300)","(26, 0)","(0, 0)"
4,"(336, 324)","(19, 0)","(224, 24)"
5,"(248, 368)","(88, 0)","(0, 44)"
6,"(588, 408)","(52, 0)","(392, 40)"
7,"(410, 422)","(178, 0)","(0, 14)"
8,"(930, 510)","(100, 0)","(620, 88)"
9,"(624, 538)","(306, 0)","(0, 28)"
10,"(1374, 624)","(166, 0)","(916, 86)"
11,"(901, 638)","(473, 0)","(0, 14)"
12,"(1899, 707)","(268, 13)","(1266, 82)"
13,"(1222, 725)","(677, 0)","(0, 18)"
14,"(2533, 785)","(377, 0)","(1688, 60)"
15,"(1571, 827)","(964, 0)","(2, 42)"
16,"(3149, 879)","(520, 2)","(2098, 54)"
17,"(1924, 901)","(1227, 6)","(2, 28)"
2,"(160, 300)","(40, 0)","(0, 0)"
3,"(369, 370)","(37, 0)","(246, 70)"
4,"(275, 394)","(94, 0)","(0, 24)"
5,"(654, 438)","(57, 0)","(436, 44)"
6,"(460, 464)","(194, 0)","(0, 26)"
7,"(1023, 562)","(119, 0)","(682, 98)"
8,"(689, 600)","(334, 0)","(0, 38)"
9,"(1525, 678)","(180, 0)","(1016, 78)"
10,"(1005, 720)","(520, 0)","(0, 42)"
11,"(2140, 794)","(291, 0)","(1426, 74)"
12,"(1361, 844)","(781, 12)","(2, 62)"
13,"(2845, 914)","(410, 0)","(1894, 70)"
14,"(1766, 939)","(1081, 13)","(2, 38)"
15,"(3522, 1039)","(590, 0)","(2346, 100)"
16,"(2172, 1049)","(1352, 8)","(2, 18)"
17,"(4330, 1107)","(728, 4)","(2886, 62)"
18,"(2611, 1128)","(1719, 13)","(0, 34)"
19,"(1709, 1147)","(904, 15)","(2, 34)"
20,"(3608, 1175)","(505, 6)","(2404, 34)"
2,"(164, 300)","(36, 0)","(0, 0)"
3,"(414, 356)","(26, 0)","(276, 56)"
4,"(293, 414)","(121, 0)","(0, 58)"
5,"(678, 492)","(67, 0)","(452, 78)"
6,"(480, 560)","(198, 0)","(0, 68)"
7,"(1092, 600)","(116, 0)","(728, 40)"
8,"(742, 628)","(350, 0)","(0, 28)"
9,"(1608, 694)","(206, 0)","(1072, 66)"
10,"(1048, 730)","(560, 0)","(0, 36)"
11,"(2196, 806)","(316, 0)","(1464, 76)"
12,"(1397, 835)","(799, 17)","(0, 46)"
13,"(2859, 875)","(444, 0)","(1906, 40)"
14,"(1766, 890)","(1093, 3)","(0, 18)"
15,"(1179, 898)","(587, 8)","(0, 16)"
16,"(2539, 931)","(332, 17)","(1692, 50)"
17,"(1613, 972)","(928, 3)","(2, 44)"
18,"(1100, 983)","(513, 19)","(0, 30)"
19,"(2428, 1051)","(290, 10)","(1618, 78)"
20,"(1591, 1100)","(839, 13)","(2, 62)"
21,"(3291, 1262)","(492, 6)","(2192, 168)"
3,"(131, 300)","(28, 0)","(0, 0)"
4,"(334, 366)","(19, 0)","(222, 66)"
5,"(256, 392)","(78, 0)","(0, 26)"
6,"(603, 448)","(55, 0)","(402, 56)"
7,"(420, 488)","(183, 0)","(0, 40)"
8,"(978, 564)","(94, 0)","(652, 76)"
9,"(666, 612)","(312, 0)","(0, 48)"
10,"(1485, 682)","(171, 0)","(990, 70)"
11,"(966, 754)","(519, 0)","(0, 72)"
12,"(2115, 832)","(261, 10)","(1410, 88)"
13,"(1340, 888)","(775, 0)","(0, 56)"
14,"(2794, 934)","(408, 0)","(1862, 46)"
15,"(1763, 999)","(1033, 3)","(2, 68)"
16,"(3630, 1053)","(551, 0)","(2418, 54)"
17,"(2230, 1108)","(1402, 1)","(2, 56)"
18,"(4453, 1186)","(745, 10)","(2968, 88)"
19,"(2704, 1228)","(1749, 14)","(0, 56)"
20,"(5326, 1257)","(928, 17)","(3550, 46)"
21,"(3180, 1243)","(2146, 26)","(0, 12)"
2,"(159, 300)","(41, 0)","(0, 0)"
3,"(409, 352)","(22, 0)","(272, 52)"
4,"(301, 424)","(110, 0)","(2, 72)"
5,"(714, 438)","(61, 0)","(474, 14)"
6,"(487, 450)","(227, 0)","(0, 12)"
7,"(370, 474)","(121, 0)","(4, 24)"
8,"(836, 530)","(88, 0)","(554, 56)"
9,"(587, 554)","(257, 0)","(8, 24)"
10,"(1298, 600)","(147, 0)","(858, 46)"
11,"(869, 638)","(435, 0)","(6, 38)"
12,"(1797, 699)","(266, 15)","(1194, 76)"
13,"(1163, 745)","(646, 0)","(12, 46)"
14,"(2443, 815)","(342, 0)","(1622, 70)"
15,"(1546, 835)","(909, 10)","(12, 30)"
16,"(3096, 900)","(506, 3)","(2056, 68)"
17,"(1914, 940)","(1192, 6)","(10, 46)"
18,"(3808, 973)","(640, 13)","(2534, 46)"
19,"(2303, 1006)","(1511, 5)","(6, 38)"
20,"(4496, 1047)","(797, 9)","(2990, 50)"
21,"(2674, 1082)","(1836, 17)","(14, 52)"
2,"(89, 300)","(11, 0)","(0, 0)"
3,"(237, 380)","(10, 0)","(158, 80)"
4,"(188, 414)","(49, 0)","(0, 34)"
5,"(451, 516)","(37, 0)","(300, 102)"
6,"(349, 602)","(104, 0)","(2, 86)"
7,"(827, 640)","(72, 0)","(550, 38)"
8,"(584, 710)","(243, 0)","(0, 70)"
9,"(444, 762)","(140, 0)","(0, 52)"
10,"(1126, 870)","(68, 0)","(750, 108)"
11,"(808, 980)","(318, 0)","(0, 110)"
12,"(619, 1008)","(189, 4)","(0, 32)"
13,"(1510, 1180)","(115, 0)","(1006, 172)"
14,"(1085, 1344)","(427, 2)","(2, 166)"
15,"(2513, 1565)","(246, 1)","(1674, 222)"
16,"(1751, 1640)","(766, 7)","(4, 82)"
17,"(3878, 1793)","(455, 1)","(2582, 154)"
18,"(2564, 1834)","(1316, 11)","(2, 52)"
19,"(1820, 1906)","(748, 4)","(4, 76)"
20,"(4095, 2084)","(451, 8)","(2726, 186)"
21,"(2768, 2203)","(1337, 11)","(10, 130)"
2,"(89, 300)","(11, 0)","(0, 0)"
3,"(77, 300)","(12, 0)","(0, 0)"
4,"(210, 386)","(7, 0)","(140, 86)"
5,"(167, 448)","(43, 0)","(0, 62)"
6,"(430, 586)","(23, 0)","(286, 138)"
7,"(336, 654)","(96, 0)","(2, 68)"
8,"(840, 810)","(54, 0)","(558, 156)"
9,"(626, 952)","(220, 0)","(6, 142)"
10,"(498, 994)","(128, 0)","(0, 42)"
11,"(1233, 1170)","(87, 0)","(822, 176)"
12,"(914, 1254)","(319, 6)","(0, 90)"
13,"(706, 1318)","(208, 0)","(0, 64)"
14,"(1725, 1682)","(131, 0)","(1150, 364)"
15,"(1284, 1921)","(441, 1)","(0, 240)"
16,"(3053, 2190)","(265, 1)","(2034, 270)"
17,"(2180, 2381)","(875, 1)","(2, 192)"
18,"(4958, 2508)","(512, 1)","(3290, 128)"
19,"(3352, 2794)","(1644, 6)","(38, 292)"
20,"(7189, 2930)","(927, 8)","(4764, 144)"
21,"(4700, 3217)","(2547, 13)","(58, 300)"
2,"(92, 300)","(8, 0)","(0, 0)"
3,"(240, 378)","(12, 0)","(160, 78)"
4,"(193, 378)","(47, 0)","(0, 0)"
5,"(162, 396)","(31, 0)","(0, 18)"
6,"(432, 458)","(18, 0)","(288, 62)"
7,"(323, 498)","(109, 0)","(0, 40)"
8,"(259, 536)","(64, 0)","(0, 38)"
9,"(665, 570)","(36, 0)","(442, 34)"
10,"(482, 650)","(185, 0)","(2, 80)"
11,"(1127, 746)","(105, 0)","(750, 96)"
12,"(800, 796)","(331, 6)","(4, 56)"
13,"(1809, 926)","(193, 0)","(1202, 130)"
14,"(1229, 995)","(590, 1)","(10, 70)"
15,"(880, 1055)","(349, 0)","(0, 60)"
16,"(2047, 1147)","(197, 2)","(1364, 94)"
17,"(1397, 1293)","(650, 0)","(0, 146)"
18,"(3144, 1389)","(349, 8)","(2096, 104)"
19,"(2048, 1442)","(1096, 3)","(0, 56)"
20,"(4333, 1519)","(589, 3)","(2874, 80)"
21,"(2763, 1531)","(1596, 4)","(26, 16)"
2,"(162, 300)","(38, 0)","(0, 0)"
3,"(396, 356)","(30, 0)","(264, 56)"
4,"(286, 356)","(110, 0)","(0, 0)"
5,"(224, 364)","(62, 0)","(0, 8)"
6,"(564, 444)","(36, 0)","(376, 80)"
7,"(403, 476)","(161, 0)","(0, 32)"
8,"(951, 532)","(86, 0)","(634, 56)"
9,"(643, 606)","(308, 0)","(0, 74)"
10,"(1423, 668)","(168, 0)","(948, 62)"
11,"(938, 684)","(485, 0)","(0, 16)"
12,"(1972, 731)","(280, 13)","(1314, 60)"
13,"(1251, 755)","(723, 0)","(2, 24)"
14,"(857, 790)","(394, 5)","(0, 40)"
15,"(1894, 892)","(225, 0)","(1262, 102)"
16,"(1249, 952)","(647, 0)","(2, 60)"
17,"(2656, 1038)","(361, 8)","(1768, 94)"
18,"(1706, 1092)","(958, 2)","(8, 56)"
19,"(3533, 1214)","(523, 2)","(2350, 124)"
20,"(2228, 1304)","(1315, 6)","(10, 96)"
21,"(4573, 1324)","(697, 12)","(3042, 32)"
